代码,名称,最新价,市盈率(TTM),市净率
00425,敏实集团,22.75,18.04,1.41
01858,春立医疗,20.9,22.15,2.77
00535,金地商置,0.67,2.37,0.45
09995,荣昌生物-B,66.05,117.67,6.17
01302,先健科技,2.95,38.57,4.5
00811,新华文轩,5.63,4.58,0.53
00990,荣晖国际,1.08,13.69,3.56
09899,云音乐,97.75,11.95,2.36
00650,普达特科技,1.0,-30.99,3.06
02186,绿叶制药,3.7,-50.15,1.27
09966,康宁杰瑞制药-B,12.56,-34.52,5.84
00512,远大医药,4.76,8.84,1.24
06078,海吉亚医疗,62.9,72.58,7.28
00220,统一企业中国,7.64,22.26,2.24
00669,创科实业,96.25,19.51,4.46
02128,中国联塑,9.09,9.55,1.16
09956,安能物流,4.52,9.52,2.12
02669,中海物业,10.38,30.67,10.73
01117,现代牧业,1.03,6.77,0.62
02257,圣诺医药-B,55.65,-2.8,3.52
03933,联邦制药,5.02,7.84,0.8
00316,东方海外国际,133.0,1.12,0.85
00732,信利国际,1.41,3.99,0.4
06996,德琪医药-B,5.3,-5.4,1.38
06699,时代天使,113.5,62.05,4.89
01521,方达控股,2.98,26.97,2.4
02599,祥生控股集团,0.355,-0.66,0.13
