,序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
326,327,01515,华润医疗,8.13,0.0,0.0,8.13,8.13,8.13,8.13,0,0.0
327,328,01513,丽珠医药,26.35,0.0,0.0,26.35,26.35,26.35,26.35,0,0.0
328,329,01478,丘钛科技,4.27,0.0,0.0,4.27,4.27,4.27,4.27,0,0.0
329,330,01477,欧康维视生物-B,8.98,0.0,0.0,8.98,8.98,8.98,8.98,0,0.0
330,331,01475,日清食品,6.73,0.0,0.0,6.73,6.73,6.73,6.73,0,0.0
331,332,01458,周黑鸭,3.78,0.0,0.0,3.78,3.78,3.78,3.78,0,0.0
332,333,01456,国联证券,3.9,0.0,0.0,3.9,3.9,3.9,3.9,0,0.0
333,334,01448,福寿园,5.79,0.0,0.0,5.79,5.79,5.79,5.79,0,0.0
334,335,01415,高伟电子,16.6,0.0,0.0,16.6,16.6,16.6,16.6,0,0.0
335,336,01382,互太纺织,2.6,0.0,0.0,2.6,2.6,2.6,2.6,0,0.0
336,337,01381,粤丰环保,3.86,0.0,0.0,3.86,3.86,3.86,3.86,0,0.0
337,338,01375,中州证券,1.16,0.0,0.0,1.16,1.16,1.16,1.16,0,0.0
338,339,01368,特步国际,8.11,0.0,0.0,8.11,8.11,8.11,8.11,0,0.0
339,340,01361,361度,3.85,0.0,0.0,3.85,3.85,3.85,3.85,0,0.0
340,341,01359,中国信达,1.06,0.0,0.0,1.06,1.06,1.06,1.06,22328000,23667680.0
341,342,01357,美图公司,2.59,0.0,0.0,2.59,2.59,2.59,2.59,0,0.0
342,343,01349,复旦张江,3.22,0.0,0.0,3.22,3.22,3.22,3.22,0,0.0
343,344,01347,华虹半导体,34.7,0.0,0.0,34.7,34.7,34.7,34.7,0,0.0
344,345,01330,绿色动力环保,2.64,0.0,0.0,2.64,2.64,2.64,2.64,0,0.0
345,346,01316,耐世特,4.78,0.0,0.0,4.78,4.78,4.78,4.78,0,0.0
346,347,01310,香港宽频,5.87,0.0,0.0,5.87,5.87,5.87,5.87,0,0.0
347,348,01268,美东汽车,15.66,0.0,0.0,15.66,15.66,15.66,15.66,0,0.0
348,349,01258,中国有色矿业,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0,0.0
349,350,01250,山高新能源,0.068,0.0,0.0,0.068,0.068,0.068,0.068,0,0.0
350,351,01244,3D MEDICINES-B,67.0,0.0,0.0,67.0,67.0,67.0,67.0,0,0.0
351,352,01238,宝龙地产,1.46,0.0,0.0,1.46,1.46,1.46,1.46,0,0.0
352,353,01234,中国利郎,4.15,0.0,0.0,4.15,4.15,4.15,4.15,0,0.0
353,354,01199,中远海运港口,5.69,0.0,0.0,5.69,5.69,5.69,5.69,1774000,10077762.0
354,355,01196,伟禄集团,5.56,0.0,0.0,5.56,5.56,5.56,5.56,0,0.0
355,356,01176,珠光控股,0.85,0.0,0.0,0.85,0.85,0.85,0.85,0,0.0
356,357,01167,加科思-B,9.75,0.0,0.0,9.75,9.75,9.75,9.75,0,0.0
357,358,01157,中联重科,4.22,0.0,0.0,4.22,4.22,4.22,4.22,0,0.0
358,359,01138,中远海能,8.52,0.0,0.0,8.52,8.52,8.52,8.52,0,0.0
359,360,01137,香港科技探索,4.57,0.0,0.0,4.57,4.57,4.57,4.57,0,0.0
360,361,01128,永利澳门,7.41,0.0,0.0,7.41,7.41,7.41,7.41,0,0.0
361,362,01121,金阳新能源,7.41,0.0,0.0,7.41,7.41,7.41,7.41,0,0.0
362,363,01119,创梦天地,3.7,0.0,0.0,3.7,3.7,3.7,3.7,0,0.0
363,364,01117,现代牧业,1.1,0.0,0.0,1.1,1.1,1.1,1.1,0,0.0
364,365,01114,华晨中国,3.77,0.0,0.0,3.77,3.77,3.77,3.77,0,0.0
365,366,01112,H&H国际控股,12.6,0.0,0.0,12.6,12.6,12.6,12.6,0,0.0
