2023-04-29 Saturday 14:40:05 root:INFO:HKGGT, have total 561 stocks.
2023-04-29 Saturday 15:35:33 root:INFO:ggt.py:22：HKGGT, created new csv for 01381, contains 2051 rows.
2023-04-29 Saturday 15:35:35 root:INFO:ggt.py:22：HKGGT, created new csv for 01725, contains 1158 rows.
2023-04-29 Saturday 15:35:36 root:INFO:ggt.py:22：HKGGT, created new csv for 02866, contains 4272 rows.
2023-04-29 Saturday 15:35:38 root:INFO:ggt.py:22：HKGGT, created new csv for 02138, contains 1755 rows.
2023-04-29 Saturday 15:35:40 root:INFO:ggt.py:22：HKGGT, created new csv for 02727, contains 4272 rows.
2023-04-29 Saturday 15:35:41 root:INFO:ggt.py:22：HKGGT, created new csv for 00327, contains 3039 rows.
2023-04-29 Saturday 15:35:47 root:INFO:ggt.py:22：HKGGT, created new csv for 01114, contains 4272 rows.
2023-04-29 Saturday 15:35:48 root:INFO:ggt.py:22：HKGGT, created new csv for 06680, contains 314 rows.
2023-04-29 Saturday 15:35:50 root:INFO:ggt.py:22：HKGGT, created new csv for 00066, contains 4272 rows.
2023-04-29 Saturday 15:35:52 root:INFO:ggt.py:22：HKGGT, created new csv for 02318, contains 4272 rows.
2023-04-29 Saturday 15:35:53 root:INFO:ggt.py:22：HKGGT, created new csv for 02160, contains 547 rows.
2023-04-29 Saturday 15:35:54 root:INFO:ggt.py:22：HKGGT, created new csv for 01244, contains 87 rows.
