,date,value
420,2020-02-28,57.13
421,2020-03-02,57.22
422,2020-03-03,57.88
423,2020-03-04,57.69
424,2020-03-05,60.32
425,2020-03-06,60.32
426,2020-03-09,56.85
427,2020-03-10,57.79
428,2020-03-11,58.91
429,2020-03-12,57.32
430,2020-03-13,55.63
431,2020-03-16,50.27
432,2020-03-17,48.11
433,2020-03-18,36.39
434,2020-03-19,37.92
435,2020-03-20,42.36
436,2020-03-23,41.05
437,2020-03-24,42.72
438,2020-03-25,42.94
439,2020-03-26,42.51
440,2020-03-27,44.03
441,2020-03-30,43.82
442,2020-03-31,45.85
443,2020-04-01,46.22
444,2020-04-02,46.15
445,2020-04-03,44.18
446,2020-04-06,43.45
447,2020-04-07,44.47
448,2020-04-08,45.34
449,2020-04-09,47.46
450,2020-04-14,49.2
451,2020-04-15,47.89
452,2020-04-16,48.69
453,2020-04-17,49.05
454,2020-04-20,50.22
455,2020-04-21,49.12
456,2020-04-22,51.02
457,2020-04-23,51.6
458,2020-04-24,51.82
459,2020-04-27,52.11
460,2020-04-28,51.49
461,2020-04-29,52.81
462,2020-05-04,51.27
463,2020-05-05,51.49
464,2020-05-06,52.01
465,2020-05-07,52.67
466,2020-05-08,53.47
467,2020-05-11,53.25
468,2020-05-12,53.4
469,2020-05-13,54.79
470,2020-05-14,53.47
471,2020-05-15,54.28
472,2020-05-18,54.72
473,2020-05-19,55.38
474,2020-05-20,54.11
475,2020-05-21,54.04
476,2020-05-22,52.56
477,2020-05-25,53.59
478,2020-05-26,54.33
479,2020-05-27,52.78
480,2020-05-28,52.12
481,2020-05-29,53.59
482,2020-06-01,55.0
483,2020-06-02,55.66
484,2020-06-03,54.92
485,2020-06-04,55.14
486,2020-06-05,54.33
487,2020-06-08,53.59
488,2020-06-09,52.26
489,2020-06-10,53.52
490,2020-06-11,52.12
491,2020-06-12,52.71
492,2020-06-15,51.23
493,2020-06-16,52.93
494,2020-06-17,52.63
495,2020-06-18,53.52
496,2020-06-19,55.0
497,2020-06-22,54.11
498,2020-06-23,54.7
499,2020-06-24,54.11
500,2020-06-26,53.74
501,2020-06-29,53.74
502,2020-06-30,53.15
503,2020-07-02,54.33
504,2020-07-03,52.93
505,2020-07-06,52.52
506,2020-07-07,59.33
507,2020-07-08,59.99
508,2020-07-09,60.44
509,2020-07-10,60.51
510,2020-07-13,62.14
511,2020-07-14,61.92
512,2020-07-15,63.92
513,2020-07-16,61.7
514,2020-07-17,63.47
515,2020-07-20,63.69
516,2020-07-21,65.03
517,2020-07-22,65.84
518,2020-07-23,65.54
519,2020-07-24,64.88
520,2020-07-27,65.69
521,2020-07-28,67.91
522,2020-07-29,68.8
523,2020-07-30,67.91
524,2020-07-31,69.17
525,2020-08-03,70.8
526,2020-08-04,71.02
527,2020-08-05,71.54
528,2020-08-06,73.9
529,2020-08-07,72.72
530,2020-08-10,73.38
531,2020-08-11,72.42
532,2020-08-12,72.64
533,2020-08-13,72.94
534,2020-08-14,74.27
535,2020-08-17,74.05
536,2020-08-18,76.2
537,2020-08-19,75.53
538,2020-08-20,76.12
539,2020-08-21,75.38
540,2020-08-24,76.57
541,2020-08-25,75.46
542,2020-08-26,59.28
543,2020-08-27,63.46
544,2020-08-28,64.51
545,2020-08-31,62.82
546,2020-09-01,62.3
547,2020-09-02,63.0
548,2020-09-03,62.65
549,2020-09-04,62.88
550,2020-09-07,60.9
551,2020-09-08,58.87
552,2020-09-09,58.64
553,2020-09-10,58.35
554,2020-09-11,59.92
555,2020-09-14,60.26
556,2020-09-15,60.44
557,2020-09-16,60.96
558,2020-09-17,58.75
559,2020-09-18,60.09
560,2020-09-21,58.35
561,2020-09-22,58.4
562,2020-09-23,59.33
563,2020-09-24,57.53
564,2020-09-25,57.36
565,2020-09-28,56.95
566,2020-09-29,57.65
567,2020-09-30,57.94
568,2020-10-05,58.17
569,2020-10-06,59.97
570,2020-10-07,60.26
571,2020-10-08,60.5
572,2020-10-09,60.9
573,2020-10-12,62.53
574,2020-10-14,60.38
575,2020-10-15,59.8
576,2020-10-16,60.03
577,2020-10-19,56.43
578,2020-10-20,57.24
579,2020-10-21,55.56
580,2020-10-22,56.49
581,2020-10-23,54.22
582,2020-10-27,52.53
583,2020-10-28,53.64
584,2020-10-29,57.07
585,2020-10-30,56.54
586,2020-11-02,54.45
587,2020-11-03,54.98
588,2020-11-04,57.94
589,2020-11-05,59.04
590,2020-11-06,57.13
591,2020-11-09,57.94
592,2020-11-10,55.21
593,2020-11-11,53.41
594,2020-11-12,54.16
595,2020-11-13,56.49
596,2020-11-16,55.96
597,2020-11-17,54.8
598,2020-11-18,53.99
599,2020-11-19,51.43
600,2020-11-20,53.99
601,2020-11-23,51.78
602,2020-11-24,50.97
603,2020-11-25,48.58
604,2020-11-26,50.15
605,2020-11-27,51.72
606,2020-11-30,50.44
607,2020-12-01,52.59
608,2020-12-02,53.7
609,2020-12-03,55.09
610,2020-12-04,56.2
611,2020-12-07,56.49
612,2020-12-08,55.03
613,2020-12-09,57.59
614,2020-12-10,57.77
615,2020-12-11,54.86
616,2020-12-14,54.74
617,2020-12-15,54.51
618,2020-12-16,55.03
619,2020-12-17,55.85
620,2020-12-18,58.3
621,2020-12-21,64.17
622,2020-12-22,65.03
623,2020-12-23,63.24
624,2020-12-24,64.72
625,2020-12-28,62.68
626,2020-12-29,62.56
627,2020-12-30,63.36
628,2020-12-31,64.78
629,2021-01-04,63.18
630,2021-01-05,62.68
631,2021-01-06,72.87
632,2021-01-07,71.89
633,2021-01-08,79.05
634,2021-01-11,78.0
635,2021-01-12,77.01
636,2021-01-13,77.32
637,2021-01-14,75.28
638,2021-01-15,75.71
639,2021-01-18,79.05
640,2021-01-19,82.75
641,2021-01-20,84.79
642,2021-01-21,82.01
643,2021-01-22,84.36
644,2021-01-25,82.63
645,2021-01-26,83.62
646,2021-01-27,82.38
647,2021-01-28,76.52
648,2021-01-29,78.25
649,2021-02-01,79.85
650,2021-02-02,82.67
651,2021-02-03,85.58
652,2021-02-04,84.1
653,2021-02-05,84.41
654,2021-02-08,81.62
655,2021-02-09,83.17
656,2021-02-10,79.32
657,2021-02-11,79.82
658,2021-02-16,82.79
659,2021-02-17,83.04
660,2021-02-18,80.25
661,2021-02-19,84.78
662,2021-02-22,83.04
663,2021-02-23,83.04
664,2021-02-24,83.04
665,2021-02-25,83.04
666,2021-02-26,79.08
667,2021-03-01,79.76
668,2021-03-02,78.89
669,2021-03-03,78.64
670,2021-03-04,72.11
671,2021-03-05,71.43
672,2021-03-08,68.88
673,2021-03-09,69.19
674,2021-03-10,73.05
675,2021-03-11,75.1
676,2021-03-12,75.91
677,2021-03-15,75.35
678,2021-03-16,78.33
679,2021-03-17,80.88
680,2021-03-18,83.55
681,2021-03-19,84.3
682,2021-03-22,64.76
683,2021-03-23,67.76
684,2021-03-24,67.57
685,2021-03-25,68.27
686,2021-03-26,71.74
687,2021-03-29,75.34
688,2021-03-30,73.94
689,2021-03-31,73.75
690,2021-04-01,73.39
691,2021-04-07,74.37
692,2021-04-08,74.19
693,2021-04-09,68.84
694,2021-04-12,69.08
695,2021-04-13,68.23
696,2021-04-14,70.29
697,2021-04-15,70.29
698,2021-04-16,72.31
699,2021-04-19,73.2
700,2021-04-20,73.34
701,2021-04-21,72.73
702,2021-04-22,72.5
703,2021-04-23,71.98
704,2021-04-26,71.75
705,2021-04-27,73.44
706,2021-04-28,77.0
707,2021-04-29,76.77
708,2021-04-30,76.44
709,2021-05-03,76.52
710,2021-05-04,77.94
711,2021-05-05,76.0
712,2021-05-06,77.85
713,2021-05-07,75.43
714,2021-05-10,75.05
715,2021-05-11,71.31
716,2021-05-12,71.07
717,2021-05-13,70.59
718,2021-05-14,71.26
719,2021-05-17,71.5
720,2021-05-18,73.72
721,2021-05-20,71.64
722,2021-05-21,73.82
723,2021-05-24,75.9
724,2021-05-25,74.1
725,2021-05-26,75.48
726,2021-05-27,76.33
727,2021-05-28,74.67
728,2021-05-31,76.38
729,2021-06-01,81.64
730,2021-06-02,81.84
731,2021-06-03,80.33
732,2021-06-04,77.01
733,2021-06-07,78.97
734,2021-06-08,78.72
735,2021-06-09,80.52
736,2021-06-10,79.71
737,2021-06-11,80.18
738,2021-06-15,79.43
739,2021-06-16,77.77
740,2021-06-17,77.26
741,2021-06-18,76.95
742,2021-06-21,76.14
743,2021-06-22,78.11
744,2021-06-23,81.78
745,2021-06-24,81.81
746,2021-06-25,82.77
747,2021-06-28,82.87
748,2021-06-29,86.05
749,2021-06-30,84.74
750,2021-07-02,80.77
751,2021-07-05,80.22
752,2021-07-06,79.81
753,2021-07-07,80.03
754,2021-07-08,76.89
755,2021-07-09,76.84
756,2021-07-12,77.8
757,2021-07-13,76.34
758,2021-07-14,76.09
759,2021-07-15,79.22
760,2021-07-16,78.71
761,2021-07-19,78.06
762,2021-07-20,75.18
763,2021-07-21,73.51
764,2021-07-22,74.77
765,2021-07-23,72.19
766,2021-07-26,60.21
767,2021-07-27,51.87
768,2021-07-28,61.32
769,2021-07-29,65.12
770,2021-07-30,63.75
771,2021-08-02,61.68
772,2021-08-03,63.3
773,2021-08-04,62.84
774,2021-08-05,59.86
775,2021-08-06,59.0
776,2021-08-09,59.86
777,2021-08-10,62.49
778,2021-08-11,65.06
779,2021-08-12,63.35
780,2021-08-13,62.24
781,2021-08-16,62.04
782,2021-08-17,59.16
